選手名,所属クラブ,クラブ勝点,試合数,リーグ知名度,試合出場数,得点,CA
照屋靖人,海邦銀行サッカークラブ,26,18,29,18,2,
比嘉雄作,海邦銀行サッカークラブ,26,18,29,13,0,
島優也,海邦銀行サッカークラブ,26,18,29,18,3,
恩納正気,海邦銀行サッカークラブ,26,18,29,4,1,
島袋貴男,海邦銀行サッカークラブ,26,18,29,4,1,
上原大輔,海邦銀行サッカークラブ,26,18,29,15,1,
佐久川広也,海邦銀行サッカークラブ,26,18,29,5,1,
吉元雅人,海邦銀行サッカークラブ,26,18,29,4,0,
玉城竜馬,海邦銀行サッカークラブ,26,18,29,18,6,
仲西守,海邦銀行サッカークラブ,26,18,29,10,0,
赤嶺良賢,海邦銀行サッカークラブ,26,18,29,13,1,
川満陸,海邦銀行サッカークラブ,26,18,29,18,10,
真栄城兼哉,海邦銀行サッカークラブ,26,18,29,2,0,
與那城昴太,海邦銀行サッカークラブ,26,18,29,10,0,
吉嶺文啓,海邦銀行サッカークラブ,26,18,29,12,4,
善平輔,海邦銀行サッカークラブ,26,18,29,10,0,
新田呂,海邦銀行サッカークラブ,26,18,29,2,0,
髙江洲昇,海邦銀行サッカークラブ,26,18,29,6,0,
平田尚史,海邦銀行サッカークラブ,26,18,29,10,0,
比嘉啓人,海邦銀行サッカークラブ,26,18,29,1,0,
高良清和,海邦銀行サッカークラブ,26,18,29,1,0,
波平真洋,海邦銀行サッカークラブ,26,18,29,3,0,
秦賢二,海邦銀行サッカークラブ,26,18,29,1,1,
木村壮宏,NIFS KANOYA FC,24,18,29,13,0,
井上航太郎,NIFS KANOYA FC,24,18,29,5,0,
北野竜也,NIFS KANOYA FC,24,18,29,2,0,
益丸健吾,NIFS KANOYA FC,24,18,29,16,3,
小原陸,NIFS KANOYA FC,24,18,29,16,2,
河野諒太,NIFS KANOYA FC,24,18,29,16,2,
中村泰我,NIFS KANOYA FC,24,18,29,13,0,
鈴木佑里,NIFS KANOYA FC,24,18,29,15,1,
蓁原脩平,NIFS KANOYA FC,24,18,29,17,0,
向井遼児,NIFS KANOYA FC,24,18,29,17,6,
吉村浩介,NIFS KANOYA FC,24,18,29,10,1,
北村健,NIFS KANOYA FC,24,18,29,0,0,
木下直,NIFS KANOYA FC,24,18,29,5,0,
中上拓海,NIFS KANOYA FC,24,18,29,18,3,
西川大晴,NIFS KANOYA FC,24,18,29,10,2,
江藤雄大,NIFS KANOYA FC,24,18,29,9,1,
大戸智孔,NIFS KANOYA FC,24,18,29,2,0,
古川右京,NIFS KANOYA FC,24,18,29,6,0,
森元直施,NIFS KANOYA FC,24,18,29,5,0,
長岡拓実,NIFS KANOYA FC,24,18,29,5,0,
土井颯一郎,NIFS KANOYA FC,24,18,29,2,0,
野中大貴,NIFS KANOYA FC,24,18,29,11,2,
仲辻勢生,NIFS KANOYA FC,24,18,29,8,0,
水野智大,NIFS KANOYA FC,24,18,29,13,3,
仲間圭,NIFS KANOYA FC,24,18,29,6,0,
植田恭生,NIFS KANOYA FC,24,18,29,9,2,
濱口康平,NIFS KANOYA FC,24,18,29,6,0,
西澤和馬,NIFS KANOYA FC,24,18,29,1,0,
千原凌,NIFS KANOYA FC,24,18,29,1,0,
谷元太,川副クラブ,20,18,29,15,0,
重富崚平,川副クラブ,20,18,29,18,1,
岩下洋平,川副クラブ,20,18,29,12,0,
小林悟史,川副クラブ,20,18,29,15,0,
田中功一,川副クラブ,20,18,29,17,11,
武生秀人,川副クラブ,20,18,29,14,1,
森哲哉,川副クラブ,20,18,29,3,0,
岡明広,川副クラブ,20,18,29,15,0,
山口伸,川副クラブ,20,18,29,7,0,
世利雄樹,川副クラブ,20,18,29,16,2,
廣瀬大輔,川副クラブ,20,18,29,13,3,
後藤惇志,川副クラブ,20,18,29,0,0,
藤光俊彰,川副クラブ,20,18,29,5,0,
中尾祐輔,川副クラブ,20,18,29,8,0,
谷口政昭,川副クラブ,20,18,29,12,0,
山口元治,川副クラブ,20,18,29,5,0,
諸岡佑輔,川副クラブ,20,18,29,15,2,
村岡勇太,川副クラブ,20,18,29,15,0,
江口健一,川副クラブ,20,18,29,8,1,
徳永遼太郎,川副クラブ,20,18,29,3,0,
江頭弘太,川副クラブ,20,18,29,5,0,
中尾弘樹,川副クラブ,20,18,29,1,0,
尾崎悠,川副クラブ,20,18,29,1,0,
角康平,川副クラブ,20,18,29,14,3,
光宗佑真,川副クラブ,20,18,29,2,0,
廣重裕也,川副クラブ,20,18,29,3,0,
宮本朋輝,熊本県教員蹴友団,27,18,29,7,0,
永田一真,熊本県教員蹴友団,27,18,29,17,0,
有江一矢,熊本県教員蹴友団,27,18,29,8,0,
志水貴彦,熊本県教員蹴友団,27,18,29,15,3,
大塚翔太,熊本県教員蹴友団,27,18,29,18,7,
大塚寛史,熊本県教員蹴友団,27,18,29,16,3,
塩田涼,熊本県教員蹴友団,27,18,29,14,6,
富永圭一,熊本県教員蹴友団,27,18,29,6,0,
長浦卓也,熊本県教員蹴友団,27,18,29,8,0,
鈴木田一喜,熊本県教員蹴友団,27,18,29,17,0,
堤隆裕,熊本県教員蹴友団,27,18,29,15,6,
原利洋,熊本県教員蹴友団,27,18,29,1,0,
肝付英臣,熊本県教員蹴友団,27,18,29,11,0,
有内寛生,熊本県教員蹴友団,27,18,29,13,2,
宮田勇,熊本県教員蹴友団,27,18,29,3,0,
青木太,熊本県教員蹴友団,27,18,29,3,0,
日元大貴,熊本県教員蹴友団,27,18,29,1,0,
上園拓也,熊本県教員蹴友団,27,18,29,14,0,
小野耕平,熊本県教員蹴友団,27,18,29,13,1,
福邑健仁,熊本県教員蹴友団,27,18,29,14,0,
杉本良二,熊本県教員蹴友団,27,18,29,1,0,
稲本博久,熊本県教員蹴友団,27,18,29,3,0,
越川颯太,熊本県教員蹴友団,27,18,29,6,0,
上野恭平,熊本県教員蹴友団,27,18,29,4,0,
中山恵太,熊本県教員蹴友団,27,18,29,0,0,
隅田純一,熊本県教員蹴友団,27,18,29,6,0,
山城朋大,熊本県教員蹴友団,27,18,29,1,0,
池田辰哉,熊本県教員蹴友団,27,18,29,1,0,
坂本裕也,佐賀LIXIL FC,29,18,29,10,0,
一ノ瀬慶太,佐賀LIXIL FC,29,18,29,15,0,
橋口大樹,佐賀LIXIL FC,29,18,29,15,0,
林隆介,佐賀LIXIL FC,29,18,29,17,0,
秀嶋完太,佐賀LIXIL FC,29,18,29,18,8,
清田芳浩,佐賀LIXIL FC,29,18,29,17,3,
安冨将太,佐賀LIXIL FC,29,18,29,6,2,
山本祐太,佐賀LIXIL FC,29,18,29,17,0,
村中拳斗,佐賀LIXIL FC,29,18,29,18,2,
今宮健太,佐賀LIXIL FC,29,18,29,16,1,
砂田琢己,佐賀LIXIL FC,29,18,29,17,1,
木原智典,佐賀LIXIL FC,29,18,29,0,0,
松尾栄次,佐賀LIXIL FC,29,18,29,1,0,
時田元気,佐賀LIXIL FC,29,18,29,18,4,
山崎敏也,佐賀LIXIL FC,29,18,29,10,0,
三宅大樹,佐賀LIXIL FC,29,18,29,12,0,
松本翼,佐賀LIXIL FC,29,18,29,10,4,
武部壮馬,佐賀LIXIL FC,29,18,29,15,10,
前田賢四朗,佐賀LIXIL FC,29,18,29,3,0,
佐藤大地,佐賀LIXIL FC,29,18,29,5,0,
川原隆広,佐賀LIXIL FC,29,18,29,10,0,
碓井健平,沖縄ＳＶ,51,18,29,14,0,
岡根直哉,沖縄ＳＶ,51,18,29,18,3,68
石川和磨,沖縄ＳＶ,51,18,29,18,1,60
原隆生,沖縄ＳＶ,51,18,29,18,1,
安藝正俊,沖縄ＳＶ,51,18,29,18,2,60
関恭範,沖縄ＳＶ,51,18,29,18,7,
西澤代志也,沖縄ＳＶ,51,18,29,15,2,64
秋本和希,沖縄ＳＶ,51,18,29,18,5,
高柳一誠,沖縄ＳＶ,51,18,29,18,0,
山内達朗,沖縄ＳＶ,51,18,29,18,18,63
宮坂淳也,沖縄ＳＶ,51,18,29,10,3,
矢野大樹,沖縄ＳＶ,51,18,29,5,0,
中澤峻哉,沖縄ＳＶ,51,18,29,6,0,45
豊里浩希,沖縄ＳＶ,51,18,29,6,0,45
三羽悠矢,沖縄ＳＶ,51,18,29,18,0,55
高柳昌賢,沖縄ＳＶ,51,18,29,17,4,62
高原直泰,沖縄ＳＶ,51,18,29,11,7,68
前田俊介,沖縄ＳＶ,51,18,29,16,4,60
北野智貴,沖縄ＳＶ,51,18,29,3,0,
牧野悟,沖縄ＳＶ,51,18,29,16,7,
矢野悠希,沖縄ＳＶ,51,18,29,0,0,38
重富大輔,九州三菱自動車サッカー部,17,18,29,7,0,
倉富裕也,九州三菱自動車サッカー部,17,18,29,7,0,31
成良拓真,九州三菱自動車サッカー部,17,18,29,17,0,37
青木利博,九州三菱自動車サッカー部,17,18,29,18,1,
鳥原一樹,九州三菱自動車サッカー部,17,18,29,18,2,
濱中祐輔,九州三菱自動車サッカー部,17,18,29,16,2,39
福田量司,九州三菱自動車サッカー部,17,18,29,18,0,
郷司宏貴,九州三菱自動車サッカー部,17,18,29,18,3,41
柄本一輝,九州三菱自動車サッカー部,17,18,29,17,4,42
西原泰弘,九州三菱自動車サッカー部,17,18,29,18,2,39
畠中慎太郎,九州三菱自動車サッカー部,17,18,29,16,2,39
美谷泰生,九州三菱自動車サッカー部,17,18,29,7,0,
柴田奨,九州三菱自動車サッカー部,17,18,29,5,0,
吉野慎治,九州三菱自動車サッカー部,17,18,29,12,0,
久保考輝,九州三菱自動車サッカー部,17,18,29,4,0,
岩野徹平,九州三菱自動車サッカー部,17,18,29,4,0,28
大塚隆二,九州三菱自動車サッカー部,17,18,29,4,0,28
高木啓将,九州三菱自動車サッカー部,17,18,29,17,0,
東條奏,九州三菱自動車サッカー部,17,18,29,14,0,
野村章悟,九州三菱自動車サッカー部,17,18,29,12,0,
小笠原幸二,大宮サッカークラブ,52,18,12,17,0,36
中村峻,大宮サッカークラブ,52,18,12,6,0,
三浦俊介,大宮サッカークラブ,52,18,12,11,0,
久保海都,大宮サッカークラブ,52,18,12,15,3,37
鈴木希志郎,大宮サッカークラブ,52,18,12,15,0,35
菊池賢人,大宮サッカークラブ,52,18,12,12,2,
青砥大輝,大宮サッカークラブ,52,18,12,15,23,42
橋本紘希,大宮サッカークラブ,52,18,12,16,5,39
小野寺真太朗,大宮サッカークラブ,52,18,12,10,1,
尾久一太,大宮サッカークラブ,52,18,12,14,5,38
石川泰樹,大宮サッカークラブ,52,18,12,13,10,40
吉田光野,大宮サッカークラブ,52,18,12,9,1,
小笠原寛,大宮サッカークラブ,52,18,12,18,1,34
福島大地,大宮サッカークラブ,52,18,12,13,1,32
江口祥武,大宮サッカークラブ,52,18,12,15,1,32
千葉功太郎,大宮サッカークラブ,52,18,12,6,2,
菊池大地,大宮サッカークラブ,52,18,12,13,1,
千葉書也,大宮サッカークラブ,52,18,12,14,0,
城澤優斗,大宮サッカークラブ,52,18,12,12,6,
大場蒼,大宮サッカークラブ,52,18,12,4,0,16
齋藤俊彰,大宮サッカークラブ,52,18,12,1,0,15
滝本祐樹,大宮サッカークラブ,52,18,12,3,0,15
岩本大樹,大宮サッカークラブ,52,18,12,8,1,
